cd_acao_rdz;cd_acao;nm_empresa;setor_economico;subsetor;segmento;cnpj
CSAN;CSAN3;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50.746.577/0001-15
DMMO;DMMO11, DMMO3;DOMMO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;08.926.302/0001-05
ENAT;ENAT3;ENAUTA PART;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;11.669.021/0001-10
RPMG;RPMG3;PET MANGUINH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;33.412.081/0001-96
PETR;PETR4, PETR3;PETROBRAS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;33.000.167/0001-01
BRDT;BRDT3;PETROBRAS BR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;34.274.233/0001-02
PRIO;PRIO3;PETRORIO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;10.629.105/0001-68
UGPA;UGPA3;ULTRAPAR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;33.256.439/0001-39
LUPA;LUPA3;LUPATECH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;89.463.822/0001-12
OSXB;OSXB3;OSX BRASIL;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;09.112.685/0001-32
BRAP;BRAP4, BRAP3;BRADESPAR;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;03.847.461/0001-92
LTEL;LTEL3B;LITEL;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;00.743.065/0001-27
LTLA;LTLA3B;LITELA;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;05.495.546/0001-84
MMXM;MMXM3;MMX MINER;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;02.762.115/0001-49
VALE;VALE3;VALE;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;33.592.510/0001-54
FESA;FESA4, FESA3;FERBASA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;15.141.799/0001-03
GGBR;GGBR3, GGBR4;GERDAU;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;33.611.500/0001-19
GOAU;GOAU3, GOAU4;GERDAU MET;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;92.690.783/0001-09
CSNA;CSNA3;SID NACIONAL;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;33.042.730/0001-04
USIM;USIM6, USIM5, USIM3;USIMINAS;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;60.894.730/0001-05
MGEL;MGEL3, MGEL4;MANGELS INDL;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;61.065.298/0001-02
PATI;PATI3, PATI4;PANATLANTICA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;92.693.019/0001-89
TKNO;TKNO3, TKNO4;TEKNO;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;33.467.572/0001-34
PMAM;PMAM3;PARANAPANEMA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE COBRE;60.398.369/0004-79
BRKM;BRKM6, BRKM5, BRKM3;BRASKEM;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;42.150.391/0001-70
ELEK;ELEK3, ELEK4;ELEKEIROZ;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;13.788.120/0001-47
GPCP;GPCP3, GPCP4;GPC PART;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;02.193.750/0001-52
FHER;FHER3;FER HERINGER;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;22.266.175/0001-88
NUTR;;NUTRIPLANT;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;
CRPG;CRPG3, CRPG5, CRPG6;CRISTAL;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;15.115.504/0001-24
UNIP;UNIP3, UNIP5, UNIP6;UNIPAR;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;33.958.695/0001-78
DTEX;DTEX3;DURATEX;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;97.837.181/0001-47
EUCA;EUCA4, EUCA3;EUCATEX;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;56.643.018/0001-66
RANI;RANI3, RANI4;IRANI;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;92.791.243/0001-03
KLBN;KLBN11, KLBN3, KLBN4;KLABIN S/A;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;89.637.490/0001-45
MSPA;MSPA3, MSPA4;MELHOR SP;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;60.730.348/0001-66
STTZ;;SANTHER;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;
NEMO;NEMO3, NEMO5, NEMO6;SUZANO HOLD;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;60.651.809/0001-05
SUZB;SUZB3;SUZANO S.A.;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;16.404.287/0001-55
MTIG;MTIG3, MTIG4;METAL IGUACU;MATERIAIS BÁSICOS;EMBALAGENS;EMBALAGENS;80.227.184/0001-66
SNSY;SNSY3, SNSY5, SNSY6;SANSUY;MATERIAIS BÁSICOS;MATERIAIS DIVERSOS;MATERIAIS DIVERSOS;14.807.945/0001-24
ETER;ETER3;ETERNIT;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;61.092.037/0001-81
HAGA;HAGA3, HAGA4;HAGA S/A;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;30.540.991/0001-66
