cnpj;dt_abertura;de_cnae_principal;de_ramo_atividade;de_setor;endereco_municipio;endereco_uf;endereco_regiao;situacao_cadastral;empresa_porte;optante_simples;optante_simei;nivel_atividade;saude_tributaria
39392850000118;2020-10-12;OUTRAS ATIVIDADES DE SERVICOS DE SEGURANCA;SERVICOS ADMINISTRATIVOS;SERVICOS;TEIXEIRA DE FREITAS;BA;NORDESTE;ATIVA;;;;;
40449809000110;2021-01-18;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
42968706000191;2021-08-03;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;SAO JOAO BATISTA;SC;SUL;ATIVA;;;;;
47468027000177;2022-08-08;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;CURITIBA;PR;SUL;ATIVA;;;;;
47498617000142;2022-08-10;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;INDAIAL;SC;SUL;ATIVA;;;;;
01656069000130;1997-01-03;CANTINAS SERVICOS DE ALIMENTACAO PRIVATIVOS;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;SAO JOSE DO RIO PARDO;SP;SUDESTE;ATIVA;;;;;
43365029000180;2021-09-01;SERVICOS DE ENTREGA RAPIDA;TRANSPORTE;SERVICOS;GOIANIA;GO;CENTRO-OESTE;ATIVA;;;;;
47156099000189;2022-07-14;ESTACIONAMENTO DE VEICULOS;TRANSPORTE;SERVICOS;BARUERI;SP;SUDESTE;ATIVA;;;;;
46592114000179;2022-05-30;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;SAO BERNARDO DO CAMPO;SP;SUDESTE;ATIVA;;;;;
29518739000171;2018-01-24;CASAS DE FESTAS E EVENTOS;SERVICOS ADMINISTRATIVOS;SERVICOS;ANGRA DOS REIS;RJ;SUDESTE;ATIVA;;;;;
13856859000149;2011-06-27;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;UBERABA;MG;SUDESTE;ATIVA;;;;;
11771494000124;2010-04-05;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;VAREJO;COMERCIO;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;ATIVA;;;;;
32745406000190;2019-02-12;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;GUAPORE;RS;SUL;ATIVA;;;;;
37987860000170;2020-08-05;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;PELOTAS;RS;SUL;ATIVA;;;;;
24853372000129;2016-05-23;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;VAREJO;COMERCIO;ITAGUAI;RJ;SUDESTE;ATIVA;;;;;
37150340000109;2020-05-15;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;SERVICOS DE EDUCACAO;SERVICOS;CUIABA;MT;CENTRO-OESTE;ATIVA;;;;;
21115155000143;2014-09-25;ENSINO DE MUSICA;SERVICOS DE EDUCACAO;SERVICOS;CURITIBA;PR;SUL;ATIVA;;;;;
15544415000101;2012-05-16;FABRICACAO DE ALIMENTOS DIETETICOS E COMPLEMENTOS ALIMENTARES;BENS DE CONSUMO;INDUSTRIA;JUIZ DE FORA;MG;SUDESTE;ATIVA;;;;;
27914477000139;2017-06-07;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMERCIO;CABO DE SANTO AGOSTINHO;PE;NORDESTE;ATIVA;;;;;
25115671000129;2016-07-01;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS MUNICIPAL;TRANSPORTE;SERVICOS;MARINGA;PR;SUL;ATIVA;;;;;
04885987000120;2002-02-04;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;VAREJO;COMERCIO;CAMPOS SALES;CE;NORDESTE;ATIVA;;;;;
30432840000194;2018-05-11;CONSTRUCAO DE EDIFICIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;ARAGUAINA;TO;NORTE;ATIVA;;;;;
22444881002620;2019-01-02;ESTACIONAMENTO DE VEICULOS;TRANSPORTE;SERVICOS;PONTA GROSSA;PR;SUL;ATIVA;;;;;
33811440000188;2019-06-03;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;SENADOR AMARAL;MG;SUDESTE;ATIVA;;;;;
